$ next dev
▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.2:3000
- Experiments (use with caution):
  · optimizePackageImports

✓ Starting...
⚠ The "middleware" file convention is deprecated. Please use "proxy" instead. Learn more: https://nextjs.org/docs/messages/middleware-to-proxy
✓ Ready in 1779ms
 GET /auth/sign-in 200 in 2.2s (compile: 1505ms, proxy.ts: 101ms, render: 630ms)
 GET /auth/sign-up 200 in 2.1s (compile: 1767ms, proxy.ts: 29ms, render: 342ms)
 GET /auth/sign-up 200 in 217ms (compile: 15ms, proxy.ts: 18ms, render: 184ms)
 GET /landing/contact 200 in 224ms (compile: 63ms, proxy.ts: 4ms, render: 157ms)
 GET /auth/sign-up 200 in 46ms (compile: 4ms, proxy.ts: 5ms, render: 37ms)
 GET /auth/sign-in 200 in 31ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /auth/sign-up 200 in 26ms (compile: 3ms, proxy.ts: 3ms, render: 20ms)
 GET /auth/sign-in 200 in 26ms (compile: 4ms, proxy.ts: 3ms, render: 19ms)
 GET /auth/sign-up 200 in 29ms (compile: 3ms, proxy.ts: 3ms, render: 23ms)
 GET / 200 in 48ms (compile: 23ms, proxy.ts: 3ms, render: 22ms)
 GET /dashboard 200 in 238ms (compile: 100ms, proxy.ts: 4ms, render: 134ms)
 GET /dashboard 200 in 97ms (compile: 5ms, proxy.ts: 5ms, render: 88ms)
 GET /auth/sign-in 200 in 70ms (compile: 4ms, proxy.ts: 5ms, render: 61ms)
 GET /auth/sign-up 200 in 40ms (compile: 4ms, proxy.ts: 4ms, render: 32ms)
 GET /landing/contact 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /landing 200 in 50ms (compile: 25ms, proxy.ts: 3ms, render: 22ms)
